id,Polarity,Tonality,Contradictions,Rhetorical Techniques,Propaganda Methods,Logical Errors
277,neutral,defensive,no,"repetition, appeal to authority, contrast","cherry-picking, stroking the ego",ambiguity
278,negative,critical,yes,"anaphora, appeal to authority","fear-mongering, transfer",hasty generalization
279,negative,defensive,yes,"evasion, assertion, contrast","spin, doublespeak, red herring","appeal to emotion, false dilemma"
280,negative,critical,no,"metaphor, statistical evidence, anecdotal evidence","appeal to emotion, fearmongering, authority appeal",none identified
281,negative,accusatory,yes,"quoting, hyperbole, misrepresentation","demonization, loaded language, appeal to fear","['straw man', 'appeal to emotion']"
282,positive,defensive,yes,"amplification, assertion","testimonial, selective omission",hasty generalization
283,negative,critical,yes,"appeal to authority, diminishing argument, ambiguity","cherry-picking, fear-mongering, assertion",hasty generalization
284,negative,accusatory,no,"ad hominem, loaded language, ambiguity","false dilemma, misleading statistics, fear-mongering",straw man
285,negative,accusatory,yes,"misleading equivalence, emotional appeal, attribution of responsibility","cherry-picking, fearmongering, simplification",hasty generalization
286,negative,alarmist,yes,"hyperbole, appeal to emotion","cherry-picking, fearmongering",post hoc ergo propter hoc
287,neutral,informative,yes,"anaphora, enumeratio, inclusive language","bandwagon, testimonial, appeal to history","begging the question, hasty generalization"
288,negative,dismissive,yes,"anecdote, hyperbole","appeal to tradition, demonization",hasty generalization
289,negative,cautious,yes,"hyperbole, conditional statement, repetition","appeal to emotion, manipulation of statistics",false dichotomy
290,neutral,conversational,yes,"rhetorical question, irony, apostrophe","appeal to humor, name-calling",false analogy
291,negative,serious and urgent,no,"repetition, emphasis on community","appeal to emotion, identification",none
292,positive,optimistic,no,"emphasis, comparison","selective omission, appeal to emotion",cherry-picking
293,negative,cautionary,no,"emotional appeal, causal argument, hyperbole","fearmongering, scapegoating, nostalgia",hasty generalization
294,negative,alarmist,yes,"fear appeal, anecdotal evidence, contrast","card stacking, demonization, fear-mongering","hasty generalization, post hoc ergo propter hoc"
295,negative,accusatory,yes,"quotation, controversial language, hyperbole","card stacking, name calling, fear mongering","['straw man', 'false dilemma']"
296,positive,optimistic,yes,"hyperbole, comparative statement","glittering generalities, testimonial","['misstatement', 'overgeneralization']"
297,negative,cynical,yes,"appeal to emotion, contradictory statements, historical comparison","fear-mongering, diminishing contrast",false dilemma
298,positive,informative,yes,"appeal to authority, statistical evidence, comparison","simplification, selective statistics, emotional appeal",hasty generalization
299,neutral,cautiously optimistic,yes,"reassurance, quote, antithesis","fear appeal, cherry-picking, testimonial",false dichotomy
300,negative,critical,yes,"contrast, appeal to authority, hyperbole","selective omission, misleading statistic, ad hominem",false equivalence
301,neutral,factual,yes,"statistical evidence, anecdotal evidence, contrast","cherry-picking, bandwagon, exaggeration","['post hoc fallacy', 'hasty generalization']"
302,neutral,persuasive,no,"statistic use, appeal to emotion","cherry-picking, fear-mongering",hasty generalization
303,neutral,informative,no,"comparative argument, hyperbole, citation","selective use of facts, appeal to history, denial of anticipated cost","['hasty generalization', 'post hoc reasoning']"
304,neutral,cautious,no,"conditional statement, comparative argument, appeal to practicality","scare tactics, appeal to authority, simplification",slippery slope
305,negative,accusatory,yes,"framing, appeal to emotion, ambiguity","fearmongering, selective omission, ad hominem",hasty generalization
306,neutral,cautionary,yes,"appeal to authority, contrasting positions, ambiguity","ad hominem, fear-mongering, selective omission","hasty generalization, false dichotomy"
307,negative,skeptical,yes,"apology, contrast, quotation","euphemism, appeal to authority, cherry-picking",ambiguity
308,negative,alarmist,yes,"urgency, appeal to authority, hyperbole","fear mongering, selective quoting, urgent framing",false urgency
309,negative,defensive,yes,"questioning, repetition","downplaying, appeal to authority",appeal to the stone
310,positive,optimistic,no,"anecdote, quoting authority, appeal to emotion","card stacking, glittering generalities",oversimplification
311,negative,accusatory,no,"blame attribution, implied causation","emotional appeal, scapegoating",post hoc ergo propter hoc
312,negative,alarmist,no,"fear appeal, hyperbole, anecdotal evidence","scare tactics, misleading claims, transfer of emotion",hasty generalization
313,neutral,analytical,yes,"appeal to authority, conditional statements, contrast","scare tactics, ambiguity, bandwagon",appeal to ignorance
314,neutral,assertive,yes,"appeal to emotion, framing, repetition","bandwagon, loaded language, false dilemma",hasty generalization
315,neutral,informative,yes,"appeal to authority, contradiction","denial, cherry-picking",ambiguity
316,neutral,aggressive,no,"metaphor, allusion, colloquialism, hyperbole","ad hominem, bandwagon, fear appeals",false dichotomy
317,negative,conflicted,yes,"contradiction, appeal to authority","cherry-picking, bandwagon",false dilemma
318,negative,critique,yes,"appeal to emotion, dichotomy","fear-mongering, name-calling",post hoc fallacy
319,negative,critical,yes,"hyperbole, quoting, contrast","fearmongering, ad hominem, appeal to authority","['false dichotomy', 'hasty generalization']"
320,negative,concerned,yes,"hyperbole, appeal to emotion","scare tactics, bandwagon",hasty generalization
321,negative,critical,yes,"hyperbole, appeal to authority, contrast","cherry-picking, emotional appeal, bandwagon","['hasty generalization', 'red herring']"
322,positive,optimistic,no,"comparison, conditional statement, appeal to benefits","selective emphasis, oversimplification, assertion",hasty generalization
323,negative,inquisitive and urgent,yes,"contrast, anecdotal evidence","appeal to fear, emphasis on numbers","['hasty generalization', 'false dichotomy']"
324,neutral,informative,yes,"anecdote, counterargument, appeal to authority","cherry picking, bandwagon",hasty generalization
325,positive,optimistic,no,"analogy, hyperbole, appeal to authority","cherry-picking, bandwagon",false cause
326,positive,optimistic,yes,"allusion, appeal to authority, emphasis","repetition, euphemism, bandwagon",hasty generalization
327,negative,accusatory,yes,"accusation, emotion elicitation","scapegoating, selective reporting","post hoc ergo propter hoc, hasty generalization"
328,negative,alarmist,yes,"hyperbole, statistics, authentication","fearmongering, selective omission, false dichotomy","hasty generalization, post hoc ergo propter hoc"
329,neutral,informative,no,"appeal to authority, contrast, generalization","fearmongering, bandwagon",false analogy
330,negative,accusatory,yes,"anecdote, quoting, appeal to common sense","sourcing, fear-mongering",hasty generalization
331,neutral,informative,no,"hypothetical scenario, quantification, expert testimony","selective omission, appeal to authority, bandwagon","['post hoc fallacy', 'hasty generalization']"
332,negative,accusatory,yes,"hyperbole, loaded language, quoting authority","name-calling, fear mongering, cherry-picking",straw man
333,positive,optimistic,no,"appeal to emotion, statistical evidence, inclusive language","bandwagon, fear, loaded language",none identified
334,neutral,informative,yes,"contrast, understatement, quantification","cherry-picking, demonization, appeal to emotion","['false dichotomy', 'misleading statistics']"
335,neutral,cautious,yes,"hyperbole, appeal to authority","card stacking, omission",accentuation error
336,negative,cautionary,no,"euphemism, metaphor, vague language, hyperbole","fear tactics, distraction, loaded language",hasty generalization
337,positive,optimistic,no,"statistics, historical reference, credibility appeal","selective omission, loaded language, appeal to emotion","['post hoc', 'hasty generalization']"
338,negative,concerned and urgent,yes,"eloquence, numbers and statistics, comparative analysis","appeal to emotion, selectively presenting facts",hasty generalization
339,negative,concerned,no,"exclusivity, anecdotal evidence, appeal to authority","bandwagon, fear mongering","['hasty generalization', 'oversimplification']"
340,neutral,descriptive,yes,"historical reference, appeal to authority, specificity","selectivity, emotional appeal, ambiguity",cherry-picking
341,positive,optimistic,no,"comparison, assertion, appeal to authority, emphasis","card stacking, bandwagon, glittering generalities",hasty generalization
342,negative,critical,yes,"comparative analysis, anecdotal evidence","fear appeal, selective omission",hasty generalization
343,negative,serious,no,"enumeratio, pathos, anecdote","fearmongering, card stacking, appeal to pathos",hasty generalization
